CNES;name;IBGE_city_code
302;USF SANTO ESTEVAO;260290
2376210;ESTRATEGIA DE SAUDE DA FAMILIA MARIZA RODRIGUES DOS SANTOS;500240
2789310;UBS VILA COSMOPOLITA;355030
4622871;UBS EDILENE MOUSINHO CARVALHO;220190
4448;UBS DO CSU PERNAMBUES;292740
4626435;USF PASTOR JOSE GERARDO DOS ANJOS MARINGA I;510840
4627245;UNIDADE BASICA DE SAUDE MILCA REGINA GUEDES FEITOSA;120013
6785;UBS MARECHAL RONDON;292740
639;US 106 CS PROF JOAQUIM CAVALCANTE;261160
7773;USF JOAO MARINALDO A VIANA;150240
7781;USF JOSE OLIMPIO DE BRITO;150240
8168;UBS MARIA GATTI GIGLIO;353440
8133;UBS VILA MENCK;353440
4632796;UNIDADE BASICA DE SAUDE DO BACURAU I;240100
4633423;SESB DE MADEIRO;220585
10774;UBS 02 SAMAMBAIA;530010
12262;UNIDADE BASICA DE SAUDE VITORIA;320530
14273;UNIDADE DE SAUDE DR GERMANO TRAPLE COHAPAR;410430
2573989;CENTRO DE SAUDE DE GRANDES RIOS;410870
4636511;USF PREFEITO FRANK ABRAHIM LIMA;130260
4636783;UBS LAGEIRO;221140
4637437;DANIELLE GINECOLOGIA E CLINICA MEDICA LTDA;352400
11908;UNIDADE BASICA DE SAUDE MARIA ORTIZ;320530
4639197;CLINICA REABILITE CAAPORA;250300
18686;ESTRATEGIA SAUDE DA FAMILIA ANTONIO ABDALA JOSE;412230
4640756;UBS OLIVIA MARIA DA CRUZ COSTA;221035
4641566;UNIDADE BASICA DE SAUDE GRAZIELLY CAETANO DE OLIVEIRA;150553
4641701;UNIDADE DE SAUDE DA FAMILIA HONORATO RODRIGUES DOS PASSOS;292600
4641841;USF LAGOA GRANDE;314800
22896;CENTRO DE SAUDE MARIANO DE ABREU;310620
4642635;UBS RITA DE CASSIA GOMES RAMOS;330250
2271745;USF DE MURY;330340
4643089;UBS MARIA FRANCELINA SALOMAO LANNA;315210
24104;CENTRO DE SAUDE NOSSA SENHORA DE FATIMA;310620
4643992;CENTRO DE SAUDE ARAXAS;220470
4645111;UBS JOSE MARIA DA COSTA;220520
4645413;UNIDADE BASICA DE SAUDE GREEN PARK;110012
4645561;UNIDADE BASICA DE SAUDE MONSENHOR JACINTO CARLOS P SARDINHA;171820
4645650;MMF PROFESSORA DRA SATIE MIZUBUTI;330330
22306;US 225 USF SKYLAB II;261160
4645901;USF AREAL;292740
4646770;USF SAO FRANCISCO;120040
4646827;SARZEDO UBS OSMAR GOMES DE SOUZA;316553
4647033;UNIDADE BASICA DE SAUDE 1 DE MAIO II;430790
4648196;USF PARQUE FENIX 2;260600
29300;CENTRO DE SAUDE LIBERDADE;410580
4649346;UNIDADE BASICA DE SAUDE DA FAMILIA BELA SUICA;310350
4650565;USF BOA ESPERANCA;150747
4650611;UBS DR AYUB;431060
4652088;UBS AEROPORTO;230730
4652452;UBS BEZERRINHA;130150
