IBGE_code;name;GDP;GDP_per_capita;population_estimate_2009;IBGE_state_code
293180;tremedal;578840000000.0;314024000000.0;18433;29
432232;turuçu;45723875.0;1143100000000.0;4000;43
320530;vitória;19782628.0;6179060000000.0;320156;32
313490;jacutinga;247816.0;1156720000000.0;21424;31
220672;nazária;2095140000000.0;265375.0;7895;22
314870;pedra azul;187524000000.0;721245000000.0;26000;31
221100;teresina;8700461.0;1084120000000.0;802537;22
220050;amarante;6532290000000.0;365095000000.0;17892;22
521295;matrinchã;45910546875.0;10387.0;4420;52
260310;cachoeirinha;804338000000.0;443822000000.0;18123;26
150030;afuá;10003840625.0;306556000000.0;32633;15
260545;fernando de noronha;2698070000000.0;868105000000.0;3108;26
430850;frederico westphalen;49076953125.0;1726360000000.0;28428;43
280010;amparo de são francisco;1276970000000.0;563039000000.0;2268;28
352240;itapeva;1120700.0;1248440000000.0;89768;35
250180;bayeux;604882125.0;628789000000.0;96198;25
170100;ananás;5954140625.0;625829000000.0;9514;17
316045;santo antônio do retiro;25568890625.0;360786000000.0;7087;31
251550;serra branca;621233000000.0;484733000000.0;12816;25
130150;envira;6984303125.0;396520000000.0;17614;13
171550;oliveira de fátima;1159190000000.0;1026750000000.0;1129;17
351492;elisiário;52295234375.0;157658000000.0;3317;35
421175;otacílio costa;3645778125.0;2197970000000.0;16587;42
316630;sericita;390471000000.0;531614000000.0;7345;31
312160;diamantina;28763203125.0;620271000000.0;46372;31
291995;maetinga;2355840000000.0;298813000000.0;7884;29
230600;iracema;625520000000.0;413868000000.0;15114;23
140050;são joão da baliza;59372453125.0;984945000000.0;6028;14
431413;paulo bento;3788280000000.0;1762810000000.0;2149;43
260060;alagoinha;5788620000000.0;388159000000.0;14913;26
220470;inhuma;620120000000.0;400336000000.0;15490;22
210560;joselândia;6084250000000.0;375849000000.0;16188;21
330200;itaguaí;300832725.0;2847910000000.0;105633;33
311560;cedro do abaeté;1022190000000.0;837171000000.0;1221;31
430290;cacequi;174172000000.0;1282750000000.0;13578;43
260130;barra de guabiraba;4659590000000.0;342038000000.0;13623;26
291280;ibirapuã;7499740625.0;950176000000.0;7893;29
250205;bernardino batista;1196470000000.0;360925.0;3315;25
250810;lagoa;192037000000.0;388032000000.0;4949;25
510627;novo horizonte do norte;327785000000.0;825655000000.0;3970;51
314480;nova lima;212072675.0;2768280000000.0;76608;31
150800;tomé-açu;22637946875.0;465734000000.0;48607;15
291160;governador mangabeira;929038000000.0;449506000000.0;20668;29
220095;aroeiras do itaim;861480000000.0;312243000000.0;2759;22
521645;perolândia;145665000000.0;5147190000000.0;2830;52
251200;pocinhos;68767046875.0;415812000000.0;16538;25
291310;ibititá;6236690000000.0;321313000000.0;19410;29
170035;aliança do tocantins;44565703125.0;765471000000.0;5822;17
313010;igarapé;27749578125.0;82165.0;33773;31
171190;lagoa da confusão;2635274375.0;3025230000000.0;8711;17
251240;puxinanã;599025000000.0;448573000000.0;13354;25
351870;guarujá;34290985.0;1113130000000.0;308058;35
430692;engenho velho;2409890000000.0;1642730000000.0;1467;43
412210;rio bom;290879000000.0;88359296875.0;3292;41
292970;sátiro dias;759085000000.0;401229000000.0;18919;29
420915;josé boiteux;508679000000.0;1006490000000.0;5054;42
150200;cachoeira do arari;6280010000000.0;30767800293.0;20411;15
291420;irajuba;2922500000000.0;381229000000.0;7666;29
261000;palmares;38708659375.0;658098000000.0;58819;26
280070;brejo grande;3992440000000.0;493747000000.0;8086;28
410045;altamira do paraná;375634000000.0;988772000000.0;3799;41
510619;nova santa helena;49004.0;1411000000000.0;3473;51
251520;são sebastião do umbuzeiro;15186453125.0;479068000000.0;3170;25
510880;nova guarita;4570080000000.0;931339000000.0;4907;51
211178;serrano do maranhão;4099560000000.0;369829000000.0;11085;21
353715;pedrinhas paulista;758816875.0;2592470000000.0;2927;35
521945;santa rita do novo destino;2935060000000.0;820767000000.0;3576;52
250320;cabedelo;233282825.0;449789000000.0;51865;25
260300;cabrobó;1888593125.0;620595000000.0;30432;26
270250;dois riachos;3507830000000.0;313199000000.0;11200;27
500320;corumbá;271550675.0;2730060000000.0;99467;50
315820;santa maria do suaçuí;71374390625.0;478028000000.0;14931;31
510800;tapurah;32142721875.0;2790890000000.0;11517;51
150170;bragança;3828075625.0;357564000000.0;107060;15
330600;três rios;1304643375.0;1714940000000.0;76075;33
270080;belém;19550015625.0;384616000000.0;5083;27
230010;abaiara;3361550000000.0;30347199707.0;11077;23
291670;itaquara;3310570000000.0;427557000000.0;7743;29
211000;santa luzia;243950000000.0;341404000000.0;71455;21
251080;patos;615180875.0;610710000000.0;100732;25
355000;são luís do paraitinga;82827171875.0;759325.0;10908;35
420435;cordilheira alta;12888309375.0;3650040000000.0;3531;42
311540;catas altas da noruega;1463360000000.0;409559000000.0;3573;31
120035;marechal thaumaturgo;1091820000000.0;764847000000.0;14275;12
251275;riachão do bacamarte;1785570000000.0;413421000000.0;4319;25
211174;senador alexandre costa;315188000000.0;334808000000.0;9414;21
211163;são raimundo do doca bezerra;197925000000.0;452711000000.0;4372;21
410710;diamante do norte;396034000000.0;698718000000.0;5668;41
150178;breu branco;2825256875.0;541237000000.0;52200;15
260100;angelim;4126620000000.0;397363000000.0;10385;26
430140;arvorezinha;1208960000000.0;114615.0;10548;43
210923;presidente médici;2612130000000.0;410518000000.0;6363;21
431370;palmeira das missões;59785275.0;1746830000000.0;34225;43
351390;divinolândia;158577000000.0;1398020000000.0;11343;35
290680;cansanção;1122290000000.0;329184000000.0;34093;29
280750;tomar do geru;625065000000.0;455686000000.0;13717;28
412382;santa lúcia;3497440000000.0;934394000000.0;3743;41
241060;rafael godeiro;1479820000000.0;455189000000.0;3251;24
230940;novo oriente;936214000000.0;326173000000.0;28703;23
250053;alcantil;2241040000000.0;428333000000.0;5232;25
421080;meleiro;158156000000.0;2239220000000.0;7063;42
510787;sapezal;1418892125.0;901743000000.0;15735;51
315260;pouso alto;804201000000.0;1238375.0;6494;31
220345;dom inocêncio;2545720000000.0;235824000000.0;10795;22
280640;santana do são francisco;3064120000000.0;446599000000.0;6861;28
311090;campanha;145911000000.0;914862000000.0;15949;31
314587;orizânia;3210130000000.0;453537000000.0;7078;31
421680;são josé do cerrito;7894025.0;743037000000.0;10624;42
220860;prata do piauí;1073820000000.0;329393000000.0;3260;22
210060;amarante do maranhão;131346625.0;351307000000.0;37388;21
291610;itaparica;1025870000000.0;4933.0;20796;29
350320;araraquara;419353525.0;2089810000000.0;200666;35
280280;indiaroba;860333000000.0;474640000000.0;18126;28
241390;taipu;68109515625.0;559881000000.0;12165;24
292285;nova redenção;2890960000000.0;310255000000.0;9318;29
150100;aveiro;54393734375.0;268399000000.0;20266;15
220027;alegrete do piauí;2100610000000.0;457151000000.0;4595;22
431238;monte belo do sul;5823410000000.0;2060660000000.0;2826;43
411670;nova aurora;18961790625.0;1629580000000.0;11636;41
261270;santa maria do cambucá;481653125.0;372163000000.0;12942;26
421260;peritiba;4666470000000.0;1567510000000.0;2977;42
310890;brasópolis;1052550000000.0;713304000000.0;14756;31
220555;lagoa alegre;2482650000000.0;302394000000.0;8210;22
220320;curimatá;401008000000.0;372511000000.0;10765;22
250157;barra de santana;341398000000.0;383206000000.0;8909;25
313835;leme do prado;2286590000000.0;444429000000.0;5145;31
250040;alagoa nova;1237860000000.0;625215000000.0;19799;25
431840;são jerônimo;28126028125.0;1321150000000.0;21289;43
315600;rio vermelho;6224130000000.0;405666000000.0;15343;31
352250;itapevi;363820725.0;1767140000000.0;205881;35
291230;ibicuí;6947515625.0;421982000000.0;16464;29
412130;rancho alegre;332753000000.0;814972000000.0;4083;41
430720;erval grande;5333470000000.0;993753000000.0;5367;43
510645;planalto da serra;338498000000.0;1210220000000.0;2797;51
292840;santa rita de cássia;91663.0;332981000000.0;27528;29
313055;imbé de minas;3828334375.0;576470000000.0;6641;31
521523;novo gama;35258496875.0;396899000000.0;88835;52
220775;passagem franca do piauí;1441200000000.0;339425.0;4246;22
430543;chuí;140924000000.0;2564110000000.0;5496;43
230526;ibaretama;4201030000000.0;318115000000.0;13206;23
350580;bastos;3223173125.0;1507570000000.0;21380;35
355490;três fronteiras;4972710000000.0;96314296875.0;5163;35
520380;britânia;483158125.0;930941000000.0;5190;52
312350;douradoquara;231418000000.0;1202800000000.0;1924;31
411940;piraí do sul;29374859375.0;1205170000000.0;24374;41
350170;américo brasiliense;578886875.0;1740750000000.0;33255;35
292265;nordestina;3545630000000.0;279845000000.0;12670;29
412555;são manoel do paraná;1885510000000.0;868901000000.0;2170;41
421550;santa cecília;201708875.0;1266380000000.0;15928;42
251570;serra grande;125042000000.0;397338000000.0;3147;25
220025;alagoinha do piauí;2727770000000.0;352608000000.0;7736;22
421640;são joão do sul;8487084375.0;1183030000000.0;7174;42
500070;anastácio;202939000000.0;880546000000.0;23047;50
240960;pedra preta;1264000000000.0;465047000000.0;2718;24
210043;alto alegre do maranhão;70238390625.0;306530000000.0;22914;21
280540;poço redondo;138587000000.0;458153000000.0;30249;28
355170;sertãozinho;41556435.0;374386000000.0;110999;35
251278;riacho de santo antônio;961101000000.0;605227000000.0;1588;25
251420;são josé da lagoa tapada;29955484375.0;371334000000.0;8067;25
290920;coronel joão sá;76828921875.0;417367000000.0;18408;29
432010;sarandi;38928953125.0;1783440000000.0;21828;43
210462;governador luiz rocha;2345110000000.0;328262000000.0;7144;21
315090;piranguçu;3453880000000.0;649348000000.0;5319;31
292420;pedro alexandre;5884200000000.0;33247800293.0;17698;29
210710;morros;481578000000.0;268798000000.0;17916;21
430490;casca;20181028125.0;2331990000000.0;8654;43
412560;são mateus do sul;552378875.0;1341120000000.0;41188;41
330615;varre-sai;882128000000.0;996530000000.0;8852;33
354460;sabino;712625000000.0;1314810000000.0;5420;35
351050;caraguatatuba;11473775.0;1193630000000.0;96125;35
292550;prado;28545396875.0;1097225.0;26016;29
421440;rio das antas;863454000000.0;1384410000000.0;6237;42
250490;cruz do espírito santo;714124000000.0;450438000000.0;15854;25
431517;protásio alves;3015000000000.0;1377970000000.0;2188;43
291190;iaçu;1098000000000.0;383889000000.0;28602;29
280050;areia branca;861163000000.0;514649000000.0;16733;28
110110;itapuã do oeste;847857000000.0;1029580000000.0;8235;11
316280;são joão evangelista;816170000000.0;502135000000.0;16254;31
220270;cocal;794485.0;291875.0;27220;22
412610;são tomé;89769359375.0;162567000000.0;5522;41
260860;lagoa do ouro;486248000000.0;397132000000.0;12244;26
430320;cacique doble;521235.0;1040800000000.0;5008;43
431510;porto xavier;142891000000.0;1283720000000.0;11131;43
312500;ewbank da câmara;1951010000000.0;530742000000.0;3676;31
140045;pacaraima;934426000000.0;1013480000000.0;9220;14
317130;viçosa;599764125.0;808623000000.0;74171;31
500793;sonora;2580115625.0;1934990000000.0;13334;50
431113;jari;88814828125.0;2336000000000.0;3802;43
260820;joaquim nabuco;9616334375.0;582879000000.0;16498;26
317005;ubaporanga;69659015625.0;554566000000.0;12561;31
412795;tupãssi;1373023125.0;1727725.0;7947;41
354830;santo expedito;2741350000000.0;927386000000.0;2956;35
430340;caiçara;6082710000000.0;1160820000000.0;5240;43
210275;capinzal do norte;4428590000000.0;414352000000.0;10688;21
240185;caiçara do norte;3164890000000.0;475780000000.0;6652;24
353660;paulo de faria;12138128125.0;128269000000.0;9463;35
410100;ampére;193307000000.0;1071480000000.0;18041;41
220730;paes landim;1458190000000.0;319639000000.0;4562;22
311130;campo do meio;838061875.0;705974000000.0;11871;31
410105;anahy;336118000000.0;1148730000000.0;2926;41
320500;serra;11531826.0;2849560000000.0;404688;32
354930;são joão do pau d'alho;363723000000.0;1660080000000.0;2191;35
353640;paulicéia;737618125.0;127373000000.0;5791;35
241490;viçosa;883425000000.0;475983000000.0;1856;24
240375;fernando pedroza;1275770000000.0;426107000000.0;2994;24
310445;aricanduva;2344710000000.0;456169000000.0;5140;31
290210;araci;172731000000.0;315704000000.0;54713;29
355480;tremembé;39327846875.0;955510000000.0;41159;35
170380;buriti do tocantins;396919000000.0;469505000000.0;8454;17
520545;cezarina;145803000000.0;186163000000.0;7832;52
211300;vitorino freire;122207000000.0;392393000000.0;31144;21
110002;ariquemes;104096075.0;1216910000000.0;85541;11
251540;seridó;3262050000000.0;323263000000.0;10091;25
410490;castro;109707675.0;1611670000000.0;68071;41
270810;santana do mundaú;5213450000000.0;433047000000.0;12039;27
250600;esperança;2210225625.0;716327000000.0;30855;25
251207;poço de josé de moura;17580734375.0;426924000000.0;4118;25
520915;gouvelândia;120889000000.0;25237890625.0;4790;52
430990;ibiraiaras;1365560625.0;1865775.0;7319;43
320400;pancas;1237070000000.0;668793000000.0;18497;32
330115;cardoso moreira;203776000000.0;1632690000000.0;12481;33
412575;são pedro do iguaçu;843764000000.0;1286030000000.0;6561;41
251690;uiraúna;65173609375.0;435565000000.0;14963;25
270140;campo alegre;18236103125.0;386284000000.0;47209;27
421120;morro da fumaça;370818.0;2299220000000.0;16128;42
432377;westfalia;67336796875.0;2368510000000.0;2843;43
311547;catuti;2203180000000.0;402555000000.0;5473;31
220271;cocal de telha;1547660000000.0;330061000000.0;4689;22
352670;leme;1338844125.0;1504400000000.0;88995;35
353290;nova europa;1136810000000.0;1126450000000.0;10092;35
210190;bequimão;6478490000000.0;301213000000.0;21508;21
412090;quedas do iguaçu;47766084375.0;1493810000000.0;31976;41
250939;maturéia;2416460000000.0;400806000000.0;6029;25
270650;passo de camaragibe;597846875.0;419218000000.0;14261;27
354920;são joão das duas pontes;3119080000000.0;1185960000000.0;2630;35
354160;promissão;7715853125.0;2053730000000.0;37570;35
261245;santa cruz;5380520000000.0;363991000000.0;14782;26
280490;pacatuba;153896.0;1195770000000.0;12870;28
290910;coribe;6345530000000.0;426018000000.0;14895;29
240760;messias targino;2169680000000.0;553067000000.0;3923;24
320035;alto rio novo;4712890000000.0;763593000000.0;6172;32
353325;novais;379369000000.0;954627000000.0;3974;35
220213;campo grande do piauí;2020030000000.0;342494000000.0;5898;22
313090;inhapim;150295000000.0;602337000000.0;24952;31
420519;ermo;405829000000.0;2185400000000.0;1857;42
290205;araças;9732103125.0;797125.0;12209;29
290830;conceição do almeida;693164000000.0;385648000000.0;17974;29
521530;orizona;234589000000.0;1543250000000.0;15201;52
230015;acarape;561331000000.0;359206000000.0;15627;23
251170;pilõezinhos;2141360000000.0;391473000000.0;5470;25
316650;serra azul de minas;1729630000000.0;386165000000.0;4479;31
314780;passa-vinte;1266280000000.0;593940000000.0;2132;31
261110;petrolina;228334625.0;810125.0;281851;26
313690;juruaia;7265875.0;836697000000.0;8684;31
290250;baianópolis;6024000000000.0;424375.0;14195;29
510385;gaúcha do norte;132123000000.0;2132730000000.0;6195;51
310390;araújos;613157000000.0;797136000000.0;7692;31
354770;santo anastácio;225050000000.0;106046000000.0;21222;35
241070;riacho da cruz;1375080000000.0;434465000000.0;3165;24
411880;peabiru;130213000000.0;975596000000.0;13347;41
351890;guzolândia;45986609375.0;93525703125.0;4917;35
220880;regeneração;6025728125.0;331266000000.0;18190;22
211125;são josé dos basílios;275081000000.0;367313000000.0;7489;21
330414;queimados;122445775.0;878516000000.0;139378;33
172085;sucupira;2932890000000.0;1684600000000.0;1741;17
290980;cruz das almas;38727140625.0;678257000000.0;57098;29
